Name,MapDate,DSCI
High Plains,20190219,61
High Plains,20190226,52
High Plains,20190305,46
High Plains,20190312,36
High Plains,20190319,17
High Plains,20190326,13
High Plains,20190402,12
High Plains,20190409,12
High Plains,20190416,10
High Plains,20190423,12
High Plains,20190430,10
High Plains,20190507,8
High Plains,20190514,6
High Plains,20190521,6
High Plains,20190528,4
High Plains,20190604,6
High Plains,20190611,8
High Plains,20190618,10
High Plains,20190625,8
High Plains,20190702,7
High Plains,20190709,7
High Plains,20190716,4
High Plains,20190723,4
High Plains,20190730,9
High Plains,20190806,12
High Plains,20190813,12
High Plains,20190820,12
High Plains,20190827,14
High Plains,20190903,17
High Plains,20190910,20
High Plains,20190917,19
High Plains,20190924,24
High Plains,20191001,28
High Plains,20191008,32
High Plains,20191015,34
High Plains,20191022,47
High Plains,20191029,44
High Plains,20191105,44
High Plains,20191112,44
High Plains,20191119,47
High Plains,20191126,49
High Plains,20191203,47
High Plains,20191210,51
High Plains,20191217,47
High Plains,20191224,47
High Plains,20191231,41
High Plains,20200107,39
High Plains,20200114,39
High Plains,20200121,42
High Plains,20200128,40
High Plains,20200204,39
High Plains,20200211,34
High Plains,20200218,32
High Plains,20200225,28
High Plains,20200303,29
High Plains,20200310,29
High Plains,20200317,29
High Plains,20200324,30
High Plains,20200331,30
High Plains,20200407,28
High Plains,20200414,31
High Plains,20200421,43
High Plains,20200428,54
High Plains,20200505,64
High Plains,20200512,72
High Plains,20200519,78
High Plains,20200526,75
High Plains,20200602,90
High Plains,20200609,97
High Plains,20200616,115
High Plains,20200623,123
High Plains,20200630,127
High Plains,20200707,124
High Plains,20200714,130
High Plains,20200721,134
High Plains,20200728,137
High Plains,20200804,137
High Plains,20200811,142
High Plains,20200818,148
High Plains,20200825,163
High Plains,20200901,168
High Plains,20200908,179
High Plains,20200915,175
High Plains,20200922,185
High Plains,20200929,209
High Plains,20201006,221
High Plains,20201013,232
High Plains,20201020,244
High Plains,20201027,244
High Plains,20201103,242
High Plains,20201110,242
High Plains,20201117,246
High Plains,20201124,253
High Plains,20201201,260
High Plains,20201208,263
High Plains,20201215,261
High Plains,20201222,261
High Plains,20201229,262
High Plains,20210105,259
High Plains,20210112,258
High Plains,20210119,258
High Plains,20210126,261
High Plains,20210202,259
High Plains,20210209,259
High Plains,20210216,246
High Plains,20210223,251
High Plains,20210302,250
High Plains,20210309,256
High Plains,20210316,214
High Plains,20210323,204
High Plains,20210330,206
High Plains,20210406,213
High Plains,20210413,213
High Plains,20210420,209
High Plains,20210427,211
High Plains,20210504,206
High Plains,20210511,198
High Plains,20210518,182
High Plains,20210525,171
High Plains,20210601,163
High Plains,20210608,169
High Plains,20210615,175
High Plains,20210622,188
High Plains,20210629,189
High Plains,20210706,190
High Plains,20210713,194
High Plains,20210720,197
High Plains,20210727,199
High Plains,20210803,200
High Plains,20210810,207
High Plains,20210817,213
High Plains,20210824,212
High Plains,20210831,207
High Plains,20210907,198
High Plains,20210914,201
High Plains,20210921,203
High Plains,20210928,212
High Plains,20211005,212
High Plains,20211012,208
High Plains,20211019,187
High Plains,20211026,187
High Plains,20211102,172
High Plains,20211109,173
High Plains,20211116,173
High Plains,20211123,180
High Plains,20211130,188
High Plains,20211207,193
High Plains,20211214,190
High Plains,20211221,197
Midwest,20001226,20
Midwest,20010102,19
Midwest,20010109,23
Midwest,20010116,23
Midwest,20010123,45
Midwest,20010130,20
Midwest,20010206,20
Midwest,20010213,12
Midwest,20010220,4
Midwest,20010227,3
Midwest,20010306,3
Midwest,20010313,2
Midwest,20010320,4
Midwest,20010327,24
Midwest,20010403,26
Midwest,20010410,19
Midwest,20010417,16
Midwest,20010424,24
Midwest,20010501,43
Midwest,20010508,66
Midwest,20010515,76
Midwest,20010522,47
Midwest,20010529,41
Midwest,20010605,28
Midwest,20010612,19
Midwest,20010619,22
Midwest,20010626,22
Midwest,20010703,23
Midwest,20010710,14
Midwest,20010717,45
Midwest,20010724,47
Midwest,20010731,49
Midwest,20010807,39
Midwest,20010814,46
Midwest,20010821,32
Midwest,20010828,25
Midwest,20010904,41
Midwest,20010911,21
Midwest,20010918,21
Midwest,20010925,10
Midwest,20011002,6
Midwest,20011009,11
Midwest,20011016,6
Midwest,20011023,6
Midwest,20011030,9
Midwest,20011106,10
Midwest,20011113,16
Midwest,20011120,17
Midwest,20011127,5
Midwest,20011204,6
